"gene","NPC_prevalence","OPC_prevalence","AC_prevalence","MES_prevalence","SRI","worst_state","state_imbalance"
"SEMA3A",0.158,0.095,0.095,0.048,0.048,"MES",0.11
"ZNF528",0.368,0.333,0.19,0.048,0.048,"MES",0.321
"PTEN",0.474,0.286,0.476,0.476,0.286,"OPC",0.19
"PGM5",0,0.095,0.095,0,0,"NPC",0.095
"RIMBP2",0,0,0,0,0,"NPC",0
"KIF27",0,0.048,0,0,0,"NPC",0.048
"GRM8",0,0,0,0,0,"NPC",0
"ASPM",0.053,0.286,0.048,0.095,0.048,"AC",0.238
"BTBD3",0.158,0.333,0.238,0.048,0.048,"MES",0.286
"NFASC",0.263,0.571,0.333,0.048,0.048,"MES",0.524
"ACTR1B",0.474,0.476,0.381,0.619,0.381,"AC",0.238
"PLAGL1",0.053,0,0.095,0.095,0,"OPC",0.095
"MPO",0,0,0,0,0,"NPC",0
"RGS18",0.105,0,0.286,0.381,0,"OPC",0.381
"ITGAM",0.053,0,0.381,0.476,0,"OPC",0.476
"SPATA6L",0.053,0,0,0,0,"OPC",0.053
"KCNK6",0.105,0.048,0.143,0.19,0.048,"OPC",0.143
"MATN4",0,0,0,0,0,"NPC",0
"AHI1",0.526,0.571,0.429,0.381,0.381,"MES",0.19
"CALM3",0.684,0.905,0.857,0.905,0.684,"NPC",0.221
"CDCP1",0.053,0,0,0.238,0,"OPC",0.238
"DPP8",0.368,0.429,0.333,0.381,0.333,"AC",0.095
"DPY19L2",0,0.048,0,0,0,"NPC",0.048
"FAT1",0.053,0.238,0.143,0.048,0.048,"MES",0.19
"KCTD8",0.053,0.048,0,0,0,"AC",0.053
"NOTCH1",0.263,0.381,0.286,0.143,0.143,"MES",0.238
"NPHP3",0.316,0.333,0.238,0.095,0.095,"MES",0.238
"RNF217",0.053,0.048,0.095,0.143,0.048,"OPC",0.095
"SORL1",0.158,0.429,0.619,0.762,0.158,"NPC",0.604
"SUPV3L1",0.263,0.238,0.095,0.19,0.095,"AC",0.168
"BTBD8",0,0.048,0,0,0,"NPC",0.048
"PLXNA2",0.158,0.143,0.19,0,0,"MES",0.19
"MYO7B",0,0,0,0,0,"NPC",0
"PIK3CB",0.105,0.19,0.19,0.19,0.105,"NPC",0.085
"ANTXR2",0.158,0.19,0.143,0.19,0.143,"AC",0.048
"NPNT",0.053,0.143,0.19,0,0,"MES",0.19
"RAD1",0.632,0.429,0.381,0.524,0.381,"AC",0.251
"P4HA2",0.105,0,0.095,0.286,0,"OPC",0.286
"CAP2",0.316,0.238,0.238,0,0,"MES",0.316
"EGFR",0.474,0.619,0.524,0.333,0.333,"MES",0.286
"CNTNAP2",0.105,0,0.143,0,0,"OPC",0.143
"TOLLIP",0.526,0.524,0.524,0.524,0.524,"OPC",0.003
"KCNA4",0,0,0,0,0,"NPC",0
"TECTA",0,0,0,0,0,"NPC",0
"TMEM52B",0.053,0,0.238,0.286,0,"OPC",0.286
"PCSK6",0,0.095,0,0,0,"NPC",0.095
"CLEC19A",0,0,0,0,0,"NPC",0
"SHPK",0,0,0,0,0,"NPC",0
"SRCIN1",0,0.19,0,0,0,"NPC",0.19
"ST6GALNAC1",0,0,0,0,0,"NPC",0
"BSG",0.789,0.952,0.952,1,0.789,"NPC",0.211
"PTPRA",0.526,0.476,0.571,0.524,0.476,"OPC",0.095
"SLC4A11",0,0.048,0.048,0,0,"NPC",0.048
"KLHL22",0.263,0.381,0.19,0.048,0.048,"MES",0.333
"MYH9",0.105,0.429,0.524,0.714,0.105,"NPC",0.609
"INTS2",0.053,0.048,0.048,0.048,0.048,"OPC",0.005
"STPG1",0.053,0,0,0,0,"OPC",0.053
"LAMB3",0.105,0,0,0,0,"OPC",0.105
"SOCS5",0.105,0.143,0.095,0.095,0.095,"AC",0.048
"HOMER1",0.316,0.19,0.381,0.143,0.143,"MES",0.238
"ANKHD1",0.316,0.286,0.143,0.238,0.143,"AC",0.173
"MTCH1",0.737,0.714,0.714,0.714,0.714,"OPC",0.023
"CHMP7",0.368,0.476,0.333,0.381,0.333,"AC",0.143
"NRG1",0,0,0,0,0,"NPC",0
"ANKS6",0.053,0.19,0.048,0.048,0.048,"AC",0.143
"ZNF408",0.421,0.333,0.048,0.143,0.048,"AC",0.373
"SLC39A5",0,0,0,0,0,"NPC",0
"CAND1",0.737,0.524,0.381,0.429,0.381,"AC",0.356
"COG6",0.211,0.429,0.286,0.143,0.143,"MES",0.286
"CYSLTR2",0,0,0,0,0,"NPC",0
"FARP1",0.421,0.381,0.381,0.381,0.381,"OPC",0.04
"FBLN5",0,0.048,0.095,0,0,"NPC",0.095
"ABCC11",0,0,0,0,0,"NPC",0
"EPB41L3",0,0.333,0.429,0.381,0,"NPC",0.429
"ARID3A",0.263,0.286,0.381,0.524,0.263,"NPC",0.261
"FCGBP",0.158,0.286,0.714,0.524,0.158,"NPC",0.556
"CLEC11A",0.316,0.333,0.333,0.381,0.316,"NPC",0.065
"LSS",0.105,0.333,0.143,0.048,0.048,"MES",0.286
"TUBA8",0,0,0,0,0,"NPC",0
"DENND6B",0.105,0.048,0.381,0.381,0.048,"OPC",0.333
"DDX3X",0.789,0.714,0.762,0.857,0.714,"OPC",0.143
"SYTL4",0,0,0.095,0,0,"NPC",0.095
"ZC3HC1",0.526,0.381,0.333,0.143,0.143,"MES",0.383
"TLN1",0.368,0.524,0.619,0.714,0.368,"NPC",0.346
"CBL",0.105,0.19,0.238,0.143,0.105,"NPC",0.133
"BOD1L1",0.474,0.429,0.381,0.381,0.381,"AC",0.093
"LZTS2",0.105,0.286,0.095,0.19,0.095,"AC",0.19
"TMEM38A",0.158,0.048,0.19,0.095,0.048,"OPC",0.143
"ZNF224",0.368,0.286,0.238,0.19,0.19,"MES",0.178
"DBNL",0.737,0.762,0.714,0.81,0.714,"AC",0.095
"PRC1",0.316,0.476,0.143,0.286,0.143,"AC",0.333
"WDR45",0.421,0.524,0.667,0.714,0.421,"NPC",0.293
"ACTN1",0.368,0.143,0.571,0.619,0.143,"OPC",0.476
"HGS",0.579,0.476,0.429,0.476,0.429,"AC",0.15
"IQGAP1",0.105,0.429,0.429,0.714,0.105,"NPC",0.609
"EIF2B5",0.474,0.381,0.381,0.333,0.333,"MES",0.14
"CC2D1B",0.053,0,0,0.048,0,"OPC",0.053
"EXOC6B",0.105,0.19,0.095,0.048,0.048,"MES",0.143
"GBP1",0.105,0.333,0.619,0.571,0.105,"NPC",0.514
"KBTBD2",0.316,0.429,0.333,0.286,0.286,"MES",0.143
"RAB11FIP5",0,0.048,0.048,0.048,0,"NPC",0.048
"KLKB1",0,0,0,0,0,"NPC",0
"HMOX1",0.368,0.333,0.857,0.952,0.333,"OPC",0.619
"MDH1B",0,0,0.048,0,0,"NPC",0.048
"AXL",0.158,0.095,0.619,0.619,0.095,"OPC",0.524
"CAMSAP1",0.368,0.286,0.048,0.095,0.048,"AC",0.321
"NKD1",0.105,0.19,0,0,0,"AC",0.19
"TANC1",0.158,0.381,0.381,0.048,0.048,"MES",0.333
"FASTK",0.474,0.619,0.714,0.714,0.474,"NPC",0.241
"PIK3CA",0.368,0.381,0.238,0.095,0.095,"MES",0.286
"IGHMBP2",0.211,0.143,0.048,0.095,0.048,"AC",0.163
"WDFY3",0.105,0.238,0.238,0.143,0.105,"NPC",0.133
"TNFSF12",0.158,0.238,0.619,0.571,0.158,"NPC",0.461
"DET1",0,0.095,0.048,0,0,"NPC",0.095
"TBC1D22B",0.105,0.143,0,0.048,0,"AC",0.143
"MYT1",0.263,0.19,0,0,0,"AC",0.263
"ABI3BP",0,0,0.095,0,0,"NPC",0.095
"ACTR3C",0.053,0.048,0,0,0,"AC",0.053
"ADAR",0.474,0.667,0.762,0.714,0.474,"NPC",0.288
"AEBP1",0.158,0.286,0.476,0.238,0.158,"NPC",0.318
"AFG3L2",0.368,0.476,0.429,0.381,0.368,"NPC",0.108
"AKR1B1",0.789,0.905,1,0.905,0.789,"NPC",0.211
"ALPK3",0,0,0.143,0.048,0,"NPC",0.143
"AMDHD2",0.053,0.143,0.381,0.429,0.053,"NPC",0.376
"ARHGAP35",0.316,0.381,0.381,0.238,0.238,"MES",0.143
"ATP10B",0,0.19,0.048,0,0,"NPC",0.19
"ATRX",0.632,0.619,0.714,0.667,0.619,"OPC",0.095
"AXDND1",0,0,0,0,0,"NPC",0
"BBS1",0.053,0,0,0,0,"OPC",0.053
"BMP5",0.053,0,0,0,0,"OPC",0.053
"BTD",0.158,0.333,0.238,0.286,0.158,"NPC",0.175
"C9orf78",0.737,0.857,0.905,0.905,0.737,"NPC",0.168
"CASP9",0.211,0.238,0.143,0.143,0.143,"AC",0.095
"CD22",0,0.095,0,0.048,0,"NPC",0.095
"CDH10",0.158,0.19,0,0,0,"AC",0.19
"CDH2",0.526,0.429,0.429,0.238,0.238,"MES",0.288
"COL18A1",0.053,0.048,0.143,0.048,0.048,"OPC",0.095
"COL27A1",0.053,0.048,0,0,0,"AC",0.053
"COX18",0.158,0.286,0.143,0.095,0.095,"MES",0.19
"CPT1C",0.474,0.381,0.238,0.048,0.048,"MES",0.426
"CSE1L",0.632,0.571,0.333,0.476,0.333,"AC",0.298
"CTNND2",0.421,0.429,0.429,0.048,0.048,"MES",0.381
"CYFIP1",0.368,0.524,0.714,0.619,0.368,"NPC",0.346
"DAP",0.421,0.476,0.524,0.619,0.421,"NPC",0.198
"DDX10",0.474,0.381,0.333,0.333,0.333,"AC",0.14
"DISP1",0,0,0,0,0,"NPC",0
"DNMT3B",0,0,0,0,0,"NPC",0
"DOCK5",0,0.286,0.095,0.333,0,"NPC",0.333
"DOK7",0.053,0,0,0,0,"OPC",0.053
"DPH5",0.474,0.476,0.524,0.429,0.429,"MES",0.095
"DSTYK",0.474,0.429,0.333,0.238,0.238,"MES",0.236
"EFTUD2",0.421,0.476,0.476,0.524,0.421,"NPC",0.103
"EHMT2",0.526,0.619,0.333,0.381,0.333,"AC",0.286
"ENOX2",0,0.19,0.238,0.19,0,"NPC",0.238
"EP300",0.105,0.19,0.19,0.19,0.105,"NPC",0.085
"EP400",0.263,0.381,0.333,0.238,0.238,"MES",0.143
"EPN1",0.579,0.619,0.667,0.524,0.524,"MES",0.143
"ERRFI1",0.368,0.429,0.429,0.381,0.368,"NPC",0.06
"FAM118A",0.421,0.238,0.333,0.333,0.238,"OPC",0.183
"FAM193A",0.316,0.286,0.19,0.143,0.143,"MES",0.173
"FANCL",0.526,0.429,0.381,0.286,0.286,"MES",0.241
"FFAR3",0,0,0,0,0,"NPC",0
"FKBP15",0.263,0.381,0.381,0.476,0.263,"NPC",0.213
"FRS2",0.211,0.381,0.238,0.143,0.143,"MES",0.238
"FZD9",0,0,0,0,0,"NPC",0
"GOLGB1",0.421,0.429,0.524,0.571,0.421,"NPC",0.15
"GPC1",0.474,0.476,0.429,0.286,0.286,"MES",0.19
"GRK5",0,0,0,0,0,"NPC",0
"GTF3C1",0.105,0.333,0.238,0.143,0.105,"NPC",0.228
"H3F3A",1,1,1,1,1,"NPC",0
"HDAC5",0.474,0.476,0.429,0.429,0.429,"AC",0.048
"HDDC2",0.789,0.905,0.714,0.762,0.714,"AC",0.19
"HEMK1",0.368,0.19,0.19,0.286,0.19,"OPC",0.178
"HNRNPDL",1,0.952,0.952,1,0.952,"OPC",0.048
"HUWE1",0.421,0.524,0.381,0.429,0.381,"AC",0.143
"IL11RA",0.211,0.143,0.19,0.048,0.048,"MES",0.163
"IL17RC",0.158,0.143,0.333,0.19,0.143,"OPC",0.19
"IP6K2",0.684,0.81,0.714,0.762,0.684,"NPC",0.125
"ISOC1",0.474,0.429,0.333,0.476,0.333,"AC",0.143
"ITGA8",0,0,0,0,0,"NPC",0
"ITPKC",0.105,0,0.048,0.048,0,"OPC",0.105
"KIF18B",0,0.095,0.048,0,0,"NPC",0.095
"KIFC3",0.158,0.333,0.286,0.238,0.158,"NPC",0.175
"LAMA3",0,0,0,0,0,"NPC",0
"LRP3",0.105,0.143,0.048,0.048,0.048,"AC",0.095
"LRRC28",0.263,0.095,0.286,0.238,0.095,"OPC",0.19
"MAP2K2",0.526,0.619,0.571,0.619,0.526,"NPC",0.093
"ME1",0,0,0.048,0,0,"NPC",0.048
"MFSD8",0.105,0.095,0.143,0.048,0.048,"MES",0.095
"MLLT3",0.316,0.286,0.143,0.095,0.095,"MES",0.221
"MRPS34",0.579,0.619,0.714,0.714,0.579,"NPC",0.135
"NAT10",0.158,0.333,0.143,0.143,0.143,"AC",0.19
"NCAN",0.368,0.333,0.19,0,0,"MES",0.368
"NCKAP1",0.474,0.381,0.333,0.048,0.048,"MES",0.426
"NDST4",0,0,0,0,0,"NPC",0
"NDUFA10",0.895,0.857,0.81,0.857,0.81,"AC",0.085
"NDUFAF1",0.474,0.333,0.429,0.476,0.333,"OPC",0.143
"NELL2",0.421,0.429,0.333,0.048,0.048,"MES",0.381
"NHSL1",0.421,0.286,0.429,0.286,0.286,"OPC",0.143
"NME4",0.579,0.524,0.762,0.571,0.524,"OPC",0.238
"ORC3",0.368,0.429,0.333,0.238,0.238,"MES",0.19
"PAPOLA",0.632,0.81,0.857,0.857,0.632,"NPC",0.226
"PARP8",0.053,0.048,0.238,0.381,0.048,"OPC",0.333
"PCDHA9",0.053,0,0,0,0,"OPC",0.053
"PCDHB6",0,0,0,0,0,"NPC",0
"PDE8B",0.053,0.143,0.095,0.048,0.048,"MES",0.095
"PHB",0.842,0.905,0.905,0.905,0.842,"NPC",0.063
"PHKG1",0,0,0,0,0,"NPC",0
"PIEZO1",0.053,0.095,0.143,0.238,0.053,"NPC",0.185
"PIK3R1",0.632,0.714,0.619,0.619,0.619,"AC",0.095
"PLCD1",0.053,0,0.238,0.048,0,"OPC",0.238
"PLCG1",0.211,0.286,0.238,0.048,0.048,"MES",0.238
"PLXNB3",0,0,0,0,0,"NPC",0
"POLDIP3",0.368,0.429,0.381,0.429,0.368,"NPC",0.06
"PPP1R26",0,0,0,0,0,"NPC",0
"PRDM4",0.368,0.333,0.095,0.095,0.095,"AC",0.273
"PRRC2A",0.579,0.476,0.429,0.476,0.429,"AC",0.15
"PRSS35",0,0,0.048,0,0,"NPC",0.048
"PTGR1",0.211,0.381,0.429,0.524,0.211,"NPC",0.313
"PTPN9",0.211,0.286,0.333,0.333,0.211,"NPC",0.123
"PUS7",0.105,0.19,0.048,0.048,0.048,"AC",0.143
"RIN3",0.053,0,0.429,0.476,0,"OPC",0.476
"RIOK3",0.526,0.476,0.381,0.571,0.381,"AC",0.19
"RNF41",0.421,0.381,0.333,0.381,0.333,"AC",0.088
"SERPINH1",0.158,0.238,0.333,0.476,0.158,"NPC",0.318
"SETBP1",0.263,0.19,0.238,0.048,0.048,"MES",0.216
"SFMBT2",0.105,0,0.476,0.333,0,"OPC",0.476
"SHANK2",0,0,0,0,0,"NPC",0
"SHCBP1",0,0.19,0,0.095,0,"NPC",0.19
"SLC4A1AP",0.421,0.476,0.333,0.333,0.333,"AC",0.143
"SLX4",0,0.048,0.048,0,0,"NPC",0.048
"SMARCA5",0.579,0.571,0.524,0.524,0.524,"AC",0.055
"SPATC1L",0.368,0.476,0.333,0.19,0.19,"MES",0.286
"SPIN3",0,0.095,0,0,0,"NPC",0.095
"SSR1",0.684,0.762,0.857,0.857,0.684,"NPC",0.173
"STMN3",0.421,0.667,0.476,0.238,0.238,"MES",0.429
"SUGP1",0.474,0.476,0.333,0.429,0.333,"AC",0.143
"SVEP1",0,0,0,0,0,"NPC",0
"SYNGAP1",0.158,0.048,0.048,0.048,0.048,"OPC",0.11
"TBC1D9B",0.421,0.381,0.381,0.476,0.381,"OPC",0.095
"TBX18",0,0,0,0,0,"NPC",0
"TFRC",0.474,0.619,0.476,0.667,0.474,"NPC",0.193
"TMEM215",0,0,0,0,0,"NPC",0
"TMEM246",0.158,0.238,0.048,0,0,"MES",0.238
"TNIP2",0.158,0.333,0.429,0.476,0.158,"NPC",0.318
"TRIM56",0.053,0.286,0.476,0.524,0.053,"NPC",0.471
"TSR1",0.368,0.381,0.333,0.333,0.333,"AC",0.048
"TTC17",0.684,0.524,0.524,0.524,0.524,"OPC",0.16
"TYRP1",0,0,0,0,0,"NPC",0
"UGGT1",0.211,0.286,0.238,0.286,0.211,"NPC",0.075
"USP12",0.053,0.19,0.143,0.19,0.053,"NPC",0.138
"ZBTB40",0.053,0.095,0.048,0.048,0.048,"AC",0.048
"ZKSCAN2",0.158,0.048,0,0,0,"AC",0.158
"ZMYND15",0.053,0,0.19,0.19,0,"OPC",0.19
"ZNF366",0,0,0,0,0,"NPC",0
"ZNF592",0.105,0.19,0.143,0.095,0.095,"MES",0.095
"ZNF599",0.158,0.381,0.143,0.048,0.048,"MES",0.333
"ZNF85",0.316,0.286,0.238,0.19,0.19,"MES",0.125
