gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
FARP1,0.421,0.381,0.381,0.381,0.381,OPC,0.04,0.682,0.727,0.727,0.682,0.682,NPC,low,moderate
FBLN5,0.0,0.048,0.095,0.0,0.0,NPC,0.095,0.0,0.045,0.091,0.227,0.0,NPC,low,low
ABCC11,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
EPB41L3,0.0,0.333,0.429,0.381,0.0,NPC,0.429,0.273,0.273,0.136,0.136,0.136,AC,low,low
ARID3A,0.263,0.286,0.381,0.524,0.263,NPC,0.261,0.227,0.136,0.091,0.364,0.091,AC,low,low
FCGBP,0.158,0.286,0.714,0.524,0.158,NPC,0.556,0.091,0.045,0.136,0.273,0.045,OPC,low,low
CLEC11A,0.316,0.333,0.333,0.381,0.316,NPC,0.065,0.636,0.682,0.682,0.591,0.591,MES,low,moderate
LSS,0.105,0.333,0.143,0.048,0.048,MES,0.286,0.136,0.591,0.5,0.455,0.136,NPC,low,low
TUBA8,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
DENND6B,0.105,0.048,0.381,0.381,0.048,OPC,0.333,0.0,0.045,0.091,0.0,0.0,NPC,low,low
DDX3X,0.789,0.714,0.762,0.857,0.714,OPC,0.143,1.0,0.909,1.0,1.0,0.909,OPC,high,high
SYTL4,0.0,0.0,0.095,0.0,0.0,NPC,0.095,0.091,0.273,0.545,0.273,0.091,NPC,low,low
ZC3HC1,0.526,0.381,0.333,0.143,0.143,MES,0.383,0.318,0.273,0.364,0.227,0.227,MES,low,low
TLN1,0.368,0.524,0.619,0.714,0.368,NPC,0.346,0.955,0.864,0.909,0.909,0.864,OPC,low,high
CBL,0.105,0.19,0.238,0.143,0.105,NPC,0.133,0.727,0.682,0.727,0.682,0.682,OPC,low,moderate
BOD1L1,0.474,0.429,0.381,0.381,0.381,AC,0.093,0.909,0.864,0.909,0.955,0.864,OPC,low,high
LZTS2,0.105,0.286,0.095,0.19,0.095,AC,0.19,0.182,0.5,0.273,0.318,0.182,NPC,low,low
TMEM38A,0.158,0.048,0.19,0.095,0.048,OPC,0.143,0.045,0.0,0.045,0.0,0.0,OPC,low,low
ZNF224,0.368,0.286,0.238,0.19,0.19,MES,0.178,0.591,0.682,0.682,0.727,0.591,NPC,low,moderate
DBNL,0.737,0.762,0.714,0.81,0.714,AC,0.095,0.727,0.818,0.909,0.818,0.727,NPC,high,high
PRC1,0.316,0.476,0.143,0.286,0.143,AC,0.333,0.545,0.545,0.364,0.5,0.364,AC,low,low
WDR45,0.421,0.524,0.667,0.714,0.421,NPC,0.293,0.591,0.727,0.727,0.818,0.591,NPC,moderate,moderate
ACTN1,0.368,0.143,0.571,0.619,0.143,OPC,0.476,0.455,0.455,0.727,0.818,0.455,NPC,low,moderate
HGS,0.579,0.476,0.429,0.476,0.429,AC,0.15,0.591,0.864,0.682,0.727,0.591,NPC,moderate,moderate
IQGAP1,0.105,0.429,0.429,0.714,0.105,NPC,0.609,0.864,0.818,0.955,0.909,0.818,OPC,low,high
EIF2B5,0.474,0.381,0.381,0.333,0.333,MES,0.14,0.682,0.818,0.818,0.727,0.682,NPC,low,moderate
CC2D1B,0.053,0.0,0.0,0.048,0.0,OPC,0.053,0.045,0.136,0.182,0.136,0.045,NPC,low,low
EXOC6B,0.105,0.19,0.095,0.048,0.048,MES,0.143,0.318,0.5,0.409,0.273,0.273,MES,low,low
GBP1,0.105,0.333,0.619,0.571,0.105,NPC,0.514,0.091,0.227,0.636,0.591,0.091,NPC,low,low
KBTBD2,0.316,0.429,0.333,0.286,0.286,MES,0.143,0.636,0.773,0.727,0.727,0.636,NPC,low,moderate
RAB11FIP5,0.0,0.048,0.048,0.048,0.0,NPC,0.048,0.0,0.0,0.0,0.091,0.0,NPC,low,low
KLKB1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
HMOX1,0.368,0.333,0.857,0.952,0.333,OPC,0.619,0.682,0.409,0.773,0.773,0.409,OPC,low,moderate
MDH1B,0.0,0.0,0.048,0.0,0.0,NPC,0.048,0.045,0.0,0.045,0.0,0.0,OPC,low,low
AXL,0.158,0.095,0.619,0.619,0.095,OPC,0.524,0.273,0.182,0.5,0.636,0.182,OPC,low,low
CAMSAP1,0.368,0.286,0.048,0.095,0.048,AC,0.321,0.5,0.591,0.5,0.545,0.5,NPC,low,moderate
NKD1,0.105,0.19,0.0,0.0,0.0,AC,0.19,0.227,0.5,0.182,0.136,0.136,MES,low,low
TANC1,0.158,0.381,0.381,0.048,0.048,MES,0.333,0.591,0.773,0.773,0.727,0.591,NPC,low,moderate
FASTK,0.474,0.619,0.714,0.714,0.474,NPC,0.241,0.682,0.818,0.727,0.727,0.682,NPC,moderate,moderate
PIK3CA,0.368,0.381,0.238,0.095,0.095,MES,0.286,0.818,0.773,0.818,0.727,0.727,MES,low,high
IGHMBP2,0.211,0.143,0.048,0.095,0.048,AC,0.163,0.182,0.182,0.091,0.091,0.091,AC,low,low
WDFY3,0.105,0.238,0.238,0.143,0.105,NPC,0.133,0.591,0.773,0.909,0.727,0.591,NPC,low,moderate
TNFSF12,0.158,0.238,0.619,0.571,0.158,NPC,0.461,0.182,0.455,0.545,0.591,0.182,NPC,low,low
DET1,0.0,0.095,0.048,0.0,0.0,NPC,0.095,0.0,0.045,0.0,0.045,0.0,NPC,low,low
TBC1D22B,0.105,0.143,0.0,0.048,0.0,AC,0.143,0.045,0.0,0.0,0.045,0.0,OPC,low,low
MYT1,0.263,0.19,0.0,0.0,0.0,AC,0.263,0.409,0.409,0.0,0.045,0.0,AC,low,low
