gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
EVPL,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
TJP3,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
LILRB5,0.0,0.0,0.0,0.048,0.0,NPC,0.048,0.0,0.0,0.0,0.0,0.0,NPC,low,low
NLRP2,0.0,0.0,0.048,0.0,0.0,NPC,0.048,0.0,0.0,0.0,0.0,0.0,NPC,low,low
ZIM2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
MGME1,0.316,0.429,0.333,0.333,0.316,NPC,0.113,0.545,0.682,0.545,0.5,0.5,MES,low,moderate
EMILIN3,0.105,0.143,0.095,0.048,0.048,MES,0.095,0.273,0.5,0.409,0.045,0.045,MES,low,low
CELSR1,0.0,0.0,0.048,0.048,0.0,NPC,0.048,0.0,0.0,0.045,0.045,0.0,NPC,low,low
USP51,0.053,0.048,0.0,0.0,0.0,AC,0.053,0.182,0.227,0.136,0.136,0.136,AC,low,low
ABCB6,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.227,0.273,0.409,0.409,0.227,NPC,low,low
AHNAK2,0.053,0.0,0.048,0.048,0.0,OPC,0.053,0.0,0.0,0.091,0.182,0.0,NPC,low,low
DLEC1,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.0,0.0,0.045,0.0,0.0,NPC,low,low
HEPH,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.045,0.136,0.273,0.0,NPC,low,low
MB,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
MTMR6,0.474,0.476,0.381,0.476,0.381,AC,0.095,0.545,0.727,0.773,0.773,0.545,NPC,low,moderate
NBAS,0.316,0.238,0.238,0.143,0.143,MES,0.173,0.545,0.591,0.545,0.545,0.545,NPC,low,moderate
PRPF39,0.263,0.333,0.143,0.095,0.095,MES,0.238,0.455,0.409,0.364,0.455,0.364,AC,low,low
ST3GAL5,0.421,0.571,0.524,0.476,0.421,NPC,0.15,0.727,0.864,0.818,0.727,0.727,NPC,moderate,high
TMEM150B,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.0,0.0,0.0,0.0,NPC,low,low
TNK2,0.421,0.524,0.286,0.286,0.286,AC,0.238,0.682,0.864,0.591,0.318,0.318,MES,low,low
USH2A,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
ZNF215,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.0,0.0,0.0,0.0,OPC,low,low
ADNP,0.421,0.429,0.333,0.381,0.333,AC,0.095,0.864,0.818,0.864,0.864,0.818,OPC,low,high
ASIC1,0.316,0.19,0.048,0.0,0.0,MES,0.316,0.273,0.409,0.364,0.091,0.091,MES,low,low
ASMTL,0.474,0.381,0.333,0.429,0.333,AC,0.14,0.455,0.5,0.455,0.591,0.455,NPC,low,moderate
ATP8A2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
CACNA1G,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.0,0.0,0.0,0.0,NPC,low,low
CDKN1B,0.526,0.571,0.429,0.571,0.429,AC,0.143,0.909,0.864,0.818,0.727,0.727,MES,moderate,high
COL1A2,0.053,0.095,0.143,0.143,0.053,NPC,0.09,0.364,0.364,0.5,0.545,0.364,NPC,low,low
COL5A1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.091,0.091,0.364,0.045,NPC,low,low
DAW1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
DNASE2,0.579,0.571,0.81,0.81,0.571,OPC,0.238,0.636,0.727,0.818,0.773,0.636,NPC,moderate,moderate
DPH2,0.368,0.381,0.333,0.19,0.19,MES,0.19,0.227,0.364,0.091,0.136,0.091,AC,low,low
