"gene","wang_NPC","wang_OPC","wang_AC","wang_MES","wang_SRI","wang_worst_state"
"MS4A14",0.045,0,0,0,0,"OPC"
"MTCH1",0.864,0.864,0.955,0.864,0.864,"NPC"
"MTERF4",0.591,0.864,0.773,0.727,0.591,"NPC"
"MTMR6",0.545,0.727,0.773,0.773,0.545,"NPC"
"MYBPC1",0.182,0.364,0.591,0.318,0.182,"NPC"
"MYH9",0.455,0.636,0.864,0.864,0.455,"NPC"
"MYO7B",0,0,0,0,0,"NPC"
"MYT1",0.409,0.409,0,0.045,0,"AC"
"NBAS",0.545,0.591,0.545,0.545,0.545,"NPC"
"NF1",0.727,0.864,0.864,0.818,0.727,"NPC"
"NFASC",0.455,0.545,0.636,0.545,0.455,"NPC"
"NFKB1",0.5,0.591,0.545,0.727,0.5,"NPC"
"NKD1",0.227,0.5,0.182,0.136,0.136,"MES"
"NLRC3",0.045,0,0,0.045,0,"OPC"
"NLRP2",0,0,0,0,0,"NPC"
"NOTCH1",0.591,0.773,0.818,0.727,0.591,"NPC"
"NPHP3",0.591,0.545,0.545,0.773,0.545,"OPC"
"NPNT",0.136,0.409,0.455,0.227,0.136,"NPC"
"NR1H2",0.773,0.773,0.773,0.773,0.773,"NPC"
"NR1H3",0,0.091,0.045,0.091,0,"NPC"
"NRG1",0.091,0.136,0.045,0.091,0.045,"AC"
"NSUN6",0.727,0.727,0.727,0.636,0.636,"MES"
"NTPCR",0.636,0.818,0.864,0.682,0.636,"NPC"
"OR4D1",0,0,0,0,0,"NPC"
"P4HA2",0.091,0,0.136,0.455,0,"OPC"
"PANK2",0.773,0.682,0.818,0.727,0.682,"OPC"
"PCDHGA2",0,0,0,0,0,"NPC"
"PCSK6",0.045,0.182,0.045,0.045,0.045,"NPC"
"PDE1C",0.045,0.455,0.182,0.091,0.045,"NPC"
"PDZD2",0.273,0.727,0.591,0.5,0.273,"NPC"
"PEMT",0.5,0.773,0.773,0.727,0.5,"NPC"
"PGM5",0.136,0.091,0.136,0.182,0.091,"OPC"
"PIK3CA",0.818,0.773,0.818,0.727,0.727,"MES"
"PIK3CB",0.364,0.5,0.5,0.318,0.318,"MES"
"PLAGL1",0.091,0.136,0.227,0.364,0.091,"NPC"
"PLCH1",0,0,0.045,0,0,"NPC"
"PLXNA2",0.273,0.273,0.273,0.227,0.227,"MES"
"POLR1A",0.318,0.409,0.364,0.318,0.318,"NPC"
"PRC1",0.545,0.545,0.364,0.5,0.364,"AC"
"PRKD1",0.182,0.273,0.318,0.136,0.136,"MES"
"PRKDC",0.864,0.818,0.818,0.909,0.818,"OPC"
"PRPF39",0.455,0.409,0.364,0.455,0.364,"AC"
"PSG2",0,0,0,0,0,"NPC"
"PTEN",0.636,0.818,0.864,0.818,0.636,"NPC"
"PTPN11",0.773,0.909,0.864,0.864,0.773,"NPC"
"PTPRA",0.864,0.818,0.818,0.864,0.818,"OPC"
"PYGL",0.364,0.5,0.636,0.5,0.364,"NPC"
"RAB11FIP5",0,0,0,0.091,0,"NPC"
"RAB37",0,0,0,0.045,0,"NPC"
"RAD1",0.682,0.545,0.5,0.636,0.5,"AC"
"RAD21",0.773,0.864,0.909,0.864,0.773,"NPC"
"RB1",0.909,0.909,0.909,0.864,0.864,"MES"
"RBBP6",0.909,0.864,0.909,0.864,0.864,"OPC"
"REXO5",0.091,0.091,0,0,0,"AC"
"RGS18",0.136,0,0,0.045,0,"OPC"
"RIMBP2",0,0,0,0,0,"NPC"
"RNF217",0.182,0.136,0.182,0.455,0.136,"OPC"
"SALL3",0.455,0.727,0.636,0.182,0.182,"MES"
"SEMA3A",0.091,0.182,0.318,0.227,0.091,"NPC"
"SEMA6A",0.636,0.818,0.818,0.5,0.5,"MES"
"SERPINA5",0,0,0,0.045,0,"NPC"
"SGPP2",0,0,0,0.182,0,"NPC"
"SHPK",0,0,0,0,0,"NPC"
"SLC22A3",0,0,0,0,0,"NPC"
"SLC35F5",0.636,0.773,0.727,0.773,0.636,"NPC"
"SLC39A5",0,0,0,0,0,"NPC"
"SLC4A11",0,0,0,0,0,"NPC"
"SLC6A14",0,0,0,0,0,"NPC"
"SMC1A",0.864,0.864,0.818,0.818,0.818,"AC"
"SOCS5",0.409,0.545,0.455,0.545,0.409,"NPC"
"SORL1",0.636,0.727,0.955,0.591,0.591,"MES"
"SOX10",0.273,0.455,0.227,0.182,0.182,"MES"
"SOX9",0.682,0.864,0.818,0.682,0.682,"NPC"
"SPATA5",0.364,0.364,0.273,0.136,0.136,"MES"
"SPATA6L",0,0.045,0,0,0,"NPC"
"SPEG",0.182,0.136,0.455,0.227,0.136,"OPC"
